,ChlA,QA_PIXEL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST_B6,date,lat,lon,name,scene_id
106,1.3016,5504,8674.0,8456.0,7977.0,7740.0,7589.0,7398.0,44394.0,2006-09-11,-93.42675,29.1666,Point_3,2_LT05_024040_20060908
107,0.638,5504,8427.0,8291.0,7850.0,7587.0,7492.0,7537.0,44373.0,2006-09-11,-93.08983,29.29178,Point_4,3_LT05_024040_20060908
108,1.0588,5504,8515.0,8458.0,7980.0,7740.0,7590.0,7536.0,44334.0,2006-09-11,-93.42373,29.325,Point_5,4_LT05_024040_20060908
109,1.4034,5504,8349.0,7964.0,7852.0,7588.0,7591.0,7537.0,44738.0,2006-09-11,-93.0884,29.39272,Point_6,5_LT05_024040_20060908
110,1.9756,5504,8939.0,8797.0,8246.0,8055.0,7787.0,7675.0,44513.0,2006-09-11,-93.42085,29.48888,Point_7,6_LT05_024040_20060908
111,1.2024,5504,8640.0,8560.0,8098.0,8027.0,7770.0,7568.0,45008.0,2006-09-11,-93.08552,29.50783,Point_8,7_LT05_024039_20060908
112,1.2024,5504,8195.0,8138.0,7597.0,7748.0,7591.0,7537.0,45009.0,2006-09-11,-93.08552,29.50783,Point_8,7_LT05_024040_20060908
113,2.454,5504,8643.0,8713.0,8099.0,7883.0,7487.0,7435.0,44988.0,2006-09-11,-93.08328,29.6326,Point_9,8_LT05_024039_20060908
114,7.5205,5504,9005.0,8945.0,8273.0,8120.0,7754.0,7697.0,44101.0,2006-09-11,-93.42847,29.64142,Point_10,9_LT05_024039_20060908
115,7.5205,5504,8556.0,8654.0,8004.0,7914.0,7693.0,7678.0,44102.0,2006-09-11,-93.42847,29.64142,Point_10,9_LT05_024040_20060908
116,4.0,5504,10587.0,11247.0,10727.0,10598.0,10637.0,10360.0,43311.0,2007-05-07,-89.74872,28.74707,Point_1,0_LT05_022040_20070508
117,10.24,5504,10131.0,10886.0,10544.0,10249.0,10143.0,9886.0,43468.0,2007-05-07,-89.7522,28.83488,Point_2,1_LT05_022040_20070508
118,14.52,5504,9996.0,10697.0,10498.0,10174.0,9904.0,9641.0,43466.0,2007-05-07,-89.7504,28.94325,Point_5,4_LT05_022040_20070508
119,9.35,5504,10179.0,10856.0,10231.0,9965.0,9909.0,9407.0,43429.0,2007-05-07,-89.74938,29.00892,Point_7,6_LT05_022040_20070508
120,12.61,5504,9827.0,10613.0,10233.0,9967.0,9667.0,9407.0,43426.0,2007-05-07,-89.74767,29.06977,Point_8,7_LT05_022040_20070508
121,16.63,5504,10124.0,10614.0,10432.0,10321.0,9991.0,9521.0,43421.0,2007-05-07,-89.74622,29.13247,Point_9,8_LT05_022040_20070508
122,13.16,5504,10006.0,10737.0,10532.0,10204.0,9911.0,9751.0,44725.0,2007-05-07,-89.74863,29.17902,Point_12,11_LT05_022040_20070508
123,13.08,5504,10066.0,10738.0,10334.0,10086.0,9992.0,9638.0,43569.0,2007-05-07,-89.74815,29.23968,Point_13,12_LT05_022040_20070508
124,7.88,5504,9947.0,10616.0,10334.0,9968.0,9911.0,9408.0,43568.0,2007-05-07,-89.7575,29.2585,Point_14,13_LT05_022040_20070508
