,ChlA,QA_PIXEL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,ST_B6,date,lat,lon,name,scene_id
164,2.27,5504,9922.0,10125.0,9843.0,9803.0,9679.0,9469.0,45359.0,2007-08-21,-91.2505,28.5827,Point_5,4_LT05_023040_20070819
165,0.55,5504,9735.0,9996.0,9739.0,9804.0,9329.0,9219.0,45389.0,2007-08-21,-91.2517,28.6588,Point_7,6_LT05_023040_20070819
166,1.33,5504,9435.0,9353.0,9325.0,9161.0,8806.0,8473.0,44681.0,2007-08-21,-91.6173,28.7828,Point_9,8_LT05_023040_20070819
167,6.09,5504,9488.0,9738.0,9531.0,9546.0,9155.0,9097.0,45421.0,2007-08-21,-91.2508,28.8568,Point_10,9_LT05_023040_20070819
168,0.53,5504,9728.0,9860.0,9628.0,9540.0,9414.0,9217.0,45344.0,2007-08-21,-91.2499,28.3751,Point_12,11_LT05_023040_20070819
169,1.63,5504,9311.0,9356.0,9008.0,9032.0,8808.0,8474.0,44695.0,2007-08-21,-91.6186,28.8835,Point_14,13_LT05_023040_20070819
170,0.23,7440,9427.0,9348.0,9107.0,9157.0,8892.0,8721.0,44358.0,2007-08-22,-91.6194,28.4523,Point_1,0_LT05_023040_20070819
171,5.28,5504,9849.0,9375.0,8915.0,8649.0,8018.0,7850.0,45015.0,2007-08-22,-92.3827,28.9147,Point_2,1_LT05_023040_20070819
172,4.05,5506,9920.0,9645.0,8917.0,8520.0,8019.0,7850.0,44572.0,2007-08-22,-92.3818,29.1571,Point_3,2_LT05_023040_20070819
173,1.29,5504,9754.0,9486.0,9113.0,9030.0,8894.0,8474.0,45031.0,2007-08-22,-91.9995,28.2714,Point_4,3_LT05_023040_20070819
174,0.49,5504,9266.0,9105.0,8696.0,8384.0,8105.0,7975.0,44971.0,2007-08-22,-92.3838,28.5168,Point_5,4_LT05_023040_20070819
175,0.41,5504,9747.0,9612.0,9428.0,9419.0,9069.0,8848.0,44394.0,2007-08-22,-91.6125,28.5842,Point_6,5_LT05_023040_20070819
176,2.21,5504,9256.0,9098.0,9011.0,8904.0,8634.0,8224.0,45385.0,2007-08-22,-91.9993,28.6751,Point_7,6_LT05_023040_20070819
177,0.9,5504,9623.0,9483.0,9217.0,9290.0,8983.0,8723.0,44668.0,2007-08-22,-91.6062,28.6929,Point_8,7_LT05_023040_20070819
178,2.29,5504,9387.0,9364.0,9013.0,8643.0,8281.0,8225.0,44878.0,2007-08-22,-91.9994,28.7919,Point_10,9_LT05_023040_20070819
179,0.38,5504,9588.0,9108.0,8698.0,8516.0,8194.0,8101.0,44962.0,2007-08-22,-92.3835,28.6571,Point_14,13_LT05_023040_20070819
180,1.5,5504,9962.0,9762.0,9229.0,8907.0,8371.0,8099.0,44333.0,2007-08-22,-91.983,28.9822,Point_15,14_LT05_023040_20070819
181,5.07,5504,9610.0,10303.0,9393.0,9036.0,8420.0,8229.0,41699.0,2007-08-24,-93.4169,29.6427,Point_3,2_LT05_024039_20070826
182,5.07,5504,9195.0,10034.0,9272.0,8790.0,8106.0,8090.0,41699.0,2007-08-24,-93.4169,29.6427,Point_3,2_LT05_024040_20070826
183,1.37,5698,20469.0,20704.0,19986.0,19668.0,17077.0,14224.0,39394.0,2007-08-27,-90.4333,28.8653,Point_2,1_LT05_022040_20070828
184,1.29,7698,65535.0,65535.0,65535.0,65535.0,21823.0,15178.0,35320.0,2007-08-28,-90.4445,28.8651,Point_1,0_LT05_022040_20070828
185,1.74,7698,65535.0,65535.0,65535.0,41452.0,22768.0,15586.0,35320.0,2007-08-28,-90.4443,28.8652,Point_3,2_LT05_022040_20070828
